field	baseline_enumeration	enumeration_description
in.city	KS, Salina	NA
in.city	KS, Shawnee	NA
in.city	KS, Topeka	NA
in.city	KS, Wichita	NA
in.city	KY, Bowling Green	NA
in.city	KY, Covington	NA
in.city	KY, Lexington-Fayette	NA
in.city	KY, Louisville Jefferson County Metro Government Balance	NA
in.city	KY, Owensboro	NA
in.city	LA, Alexandria	NA
in.city	LA, Baton Rouge	NA
in.city	LA, Bossier City	NA
in.city	LA, Kenner	NA
in.city	LA, Lafayette	NA
in.city	LA, Lake Charles	NA
in.city	LA, Metairie	NA
in.city	LA, Monroe	NA
in.city	LA, New Orleans	NA
in.city	LA, Shreveport	NA
in.city	MA, Arlington	NA
in.city	MA, Attleboro	NA
in.city	MA, Barnstable Town	NA
in.city	MA, Beverly	NA
in.city	MA, Boston	NA
in.city	MA, Brockton	NA
in.city	MA, Brookline	NA
in.city	MA, Cambridge	NA
in.city	MA, Chicopee	NA
in.city	MA, Everett	NA
in.city	MA, Fall River	NA
in.city	MA, Fitchburg	NA
in.city	MA, Framingham	NA
in.city	MA, Haverhill	NA
in.city	MA, Holyoke	NA
in.city	MA, Lawrence	NA
in.city	MA, Leominster	NA
in.city	MA, Lowell	NA
in.city	MA, Lynn	NA
in.city	MA, Malden	NA
in.city	MA, Marlborough	NA
in.city	MA, Medford	NA
in.city	MA, Methuen Town	NA
in.city	MA, New Bedford	NA
in.city	MA, Newton	NA
in.city	MA, Peabody	NA
in.city	MA, Pittsfield	NA
in.city	MA, Quincy	NA
in.city	MA, Revere	NA
in.city	MA, Salem	NA
in.city	MA, Somerville	NA
in.city	MA, Springfield	NA
in.city	MA, Taunton	NA
in.city	MA, Waltham	NA
in.city	MA, Watertown Town	NA
in.city	MA, Westfield	NA
in.city	MA, Weymouth Town	NA
in.city	MA, Woburn	NA
in.city	MA, Worcester	NA
in.city	MD, Annapolis	NA
in.city	MD, Aspen Hill	NA
in.city	MD, Baltimore	NA
in.city	MD, Bel Air South	NA
in.city	MD, Bethesda	NA
in.city	MD, Bowie	NA
in.city	MD, Catonsville	NA
in.city	MD, Columbia	NA
in.city	MD, Dundalk	NA
in.city	MD, Ellicott City	NA
in.city	MD, Essex	NA
in.city	MD, Frederick	NA
in.city	MD, Gaithersburg	NA
in.city	MD, Germantown	NA
in.city	MD, Glen Burnie	NA
in.city	MD, Hagerstown	NA
in.city	MD, North Bethesda	NA
in.city	MD, Ocean City	NA
in.city	MD, Odenton	NA
in.city	MD, Potomac	NA
in.city	MD, Rockville	NA
in.city	MD, Severn	NA
in.city	MD, Silver Spring	NA
in.city	MD, Towson	NA
in.city	MD, Waldorf	NA
in.city	MD, Wheaton	NA
in.city	MD, Woodlawn	NA
in.city	ME, Bangor	NA
in.city	ME, Lewiston	NA
in.city	ME, Portland	NA
in.city	MI, Ann Arbor	NA
in.city	MI, Battle Creek	NA
in.city	MI, Bay City	NA
in.city	MI, Dearborn	NA
in.city	MI, Dearborn Heights	NA
in.city	MI, Detroit	NA
in.city	MI, Farmington Hills	NA
in.city	MI, Flint	NA
in.city	MI, Grand Rapids	NA
in.city	MI, Jackson	NA
in.city	MI, Kalamazoo	NA
in.city	MI, Kentwood	NA
in.city	MI, Lansing	NA
in.city	MI, Lincoln Park	NA
in.city	MI, Livonia	NA
in.city	MI, Midland	NA
in.city	MI, Muskegon	NA
in.city	MI, Novi	NA
in.city	MI, Pontiac	NA
in.city	MI, Portage	NA
in.city	MI, Rochester Hills	NA
in.city	MI, Roseville	NA
in.city	MI, Royal Oak	NA
in.city	MI, Saginaw	NA
in.city	MI, Southfield	NA
in.city	MI, St Clair Shores	NA
in.city	MI, Sterling Heights	NA
in.city	MI, Taylor	NA
in.city	MI, Troy	NA
in.city	MI, Warren	NA
in.city	MI, Westland	NA
in.city	MI, Wyoming	NA
in.city	MN, Apple Valley	NA
in.city	MN, Blaine	NA
in.city	MN, Bloomington	NA
in.city	MN, Brooklyn Park	NA
in.city	MN, Burnsville	NA
in.city	MN, Coon Rapids	NA
in.city	MN, Duluth	NA
in.city	MN, Eagan	NA
in.city	MN, Eden Prairie	NA
in.city	MN, Edina	NA
in.city	MN, Lakeville	NA
in.city	MN, Mankato	NA
in.city	MN, Maple Grove	NA
in.city	MN, Maplewood	NA
in.city	MN, Minneapolis	NA
in.city	MN, Minnetonka	NA
in.city	MN, Moorhead	NA
in.city	MN, Plymouth	NA
in.city	MN, Richfield	NA
in.city	MN, Rochester	NA
in.city	MN, Roseville	NA
in.city	MN, St Cloud	NA
in.city	MN, St Louis Park	NA
in.city	MN, St Paul	NA
in.city	MN, Woodbury	NA
in.city	MO, Blue Springs	NA
in.city	MO, Cape Girardeau	NA
in.city	MO, Chesterfield	NA
in.city	MO, Columbia	NA
in.city	MO, Florissant	NA
in.city	MO, Independence	NA
in.city	MO, Jefferson City	NA
in.city	MO, Joplin	NA
in.city	MO, Kansas City	NA
in.city	MO, Lees Summit	NA
in.city	MO, Ofallon	NA
in.city	MO, Springfield	NA
in.city	MO, St Charles	NA
in.city	MO, St Joseph	NA
in.city	MO, St Louis	NA
in.city	MO, St Peters	NA
in.city	MO, University City	NA
in.city	MS, Biloxi	NA
in.city	MS, Gulfport	NA
in.city	MS, Hattiesburg	NA
in.city	MS, Jackson	NA
in.city	MS, Meridian	NA
in.city	MS, Southaven	NA
in.city	MS, Tupelo	NA
in.city	MT, Billings	NA
in.city	MT, Bozeman	NA
in.city	MT, Butte-Silver Bow Balance	NA
in.city	MT, Great Falls	NA
in.city	MT, Missoula	NA
in.city	NC, Asheville	NA
in.city	NC, Burlington	NA
in.city	NC, Cary	NA
in.city	NC, Chapel Hill	NA
in.city	NC, Charlotte	NA
in.city	NC, Concord	NA
in.city	NC, Durham	NA
in.city	NC, Fayetteville	NA
in.city	NC, Gastonia	NA
in.city	NC, Goldsboro	NA
in.city	NC, Greensboro	NA
in.city	NC, Greenville	NA
in.city	NC, Hickory	NA
in.city	NC, High Point	NA
in.city	NC, Huntersville	NA
in.city	NC, Jacksonville	NA
in.city	NC, Kannapolis	NA
in.city	NC, Raleigh	NA
in.city	NC, Rocky Mount	NA
in.city	NC, Wilmington	NA
in.city	NC, Wilson	NA
in.city	NC, Winston-Salem	NA
in.city	ND, Bismarck	NA
in.city	ND, Fargo	NA
in.city	ND, Grand Forks	NA
in.city	ND, Minot	NA
in.city	NE, Bellevue	NA
in.city	NE, Grand Island	NA
in.city	NE, Lincoln	NA
in.city	NE, Omaha	NA
in.city	NH, Concord	NA
in.city	NH, Manchester	NA
in.city	NH, Nashua	NA
in.city	NJ, Atlantic City	NA
in.city	NJ, Bayonne	NA
in.city	NJ, Camden	NA
in.city	NJ, Clifton	NA
in.city	NJ, East Orange	NA
in.city	NJ, Elizabeth	NA
in.city	NJ, Fort Lee	NA
in.city	NJ, Hackensack	NA
in.city	NJ, Hoboken	NA
in.city	NJ, Jersey City	NA
in.city	NJ, Linden	NA
in.city	NJ, New Brunswick	NA
in.city	NJ, Newark	NA
in.city	NJ, Ocean City	NA
in.city	NJ, Passaic	NA
in.city	NJ, Paterson	NA
in.city	NJ, Perth Amboy	NA
in.city	NJ, Plainfield	NA
in.city	NJ, Sayreville	NA
in.city	NJ, Toms River	NA
in.city	NJ, Trenton	NA
in.city	NJ, Union City	NA
in.city	NJ, Vineland	NA
in.city	NJ, West New York	NA
in.city	NM, Albuquerque	NA
in.city	NM, Clovis	NA
in.city	NM, Farmington	NA
in.city	NM, Las Cruces	NA
in.city	NM, Rio Rancho	NA
in.city	NM, Roswell	NA
in.city	NM, Santa Fe	NA
in.city	NM, South Valley	NA
in.city	NV, Carson City	NA
in.city	NV, Enterprise	NA
in.city	NV, Henderson	NA
in.city	NV, Las Vegas	NA
in.city	NV, North Las Vegas	NA
in.city	NV, Pahrump	NA
in.city	NV, Paradise	NA
in.city	NV, Reno	NA
in.city	NV, Sparks	NA
in.city	NV, Spring Valley	NA
in.city	NV, Sunrise Manor	NA
in.city	NV, Whitney	NA
in.city	NY, Albany	NA
in.city	NY, Binghamton	NA
in.city	NY, Brighton	NA
in.city	NY, Buffalo	NA
in.city	NY, Cheektowaga	NA
in.city	NY, Coram	NA
in.city	NY, Hempstead	NA
in.city	NY, Irondequoit	NA
in.city	NY, Levittown	NA
in.city	NY, Long Beach	NA
in.city	NY, Mount Vernon	NA
in.city	NY, New Rochelle	NA
in.city	NY, New York	NA
in.city	NY, Niagara Falls	NA
in.city	NY, Rochester	NA
in.city	NY, Rome	NA
in.city	NY, Schenectady	NA
in.city	NY, Syracuse	NA
in.city	NY, Tonawanda	NA
in.city	NY, Troy	NA
in.city	NY, Utica	NA
in.city	NY, West Seneca	NA
in.city	NY, White Plains	NA
in.city	NY, Yonkers	NA
in.city	Not in a census Place	Location of dwelling unit is not in a census designated city
in.city	OH, Akron	NA
in.city	OH, Beavercreek	NA
in.city	OH, Boardman	NA
in.city	OH, Canton	NA
in.city	OH, Cincinnati	NA
in.city	OH, Cleveland	NA
in.city	OH, Cleveland Heights	NA
in.city	OH, Columbus	NA
in.city	OH, Cuyahoga Falls	NA
in.city	OH, Dayton	NA
in.city	OH, Delaware	NA
in.city	OH, Dublin	NA
in.city	OH, Elyria	NA
in.city	OH, Euclid	NA
in.city	OH, Fairborn	NA
in.city	OH, Fairfield	NA
in.city	OH, Findlay	NA
in.city	OH, Grove City	NA
in.city	OH, Hamilton	NA
in.city	OH, Huber Heights	NA
in.city	OH, Kettering	NA
in.city	OH, Lakewood	NA
in.city	OH, Lancaster	NA
in.city	OH, Lima	NA
in.city	OH, Lorain	NA
in.city	OH, Mansfield	NA
in.city	OH, Marion	NA
in.city	OH, Mentor	NA
in.city	OH, Middletown	NA
in.city	OH, Newark	NA
in.city	OH, Parma	NA
in.city	OH, Springfield	NA
in.city	OH, Stow	NA
in.city	OH, Strongsville	NA
in.city	OH, Toledo	NA
in.city	OH, Warren	NA
in.city	OH, Youngstown	NA
in.city	OK, Bartlesville	NA
in.city	OK, Broken Arrow	NA
in.city	OK, Edmond	NA
in.city	OK, Enid	NA
in.city	OK, Lawton	NA
in.city	OK, Midwest City	NA
in.city	OK, Moore	NA
in.city	OK, Muskogee	NA
in.city	OK, Norman	NA
in.city	OK, Oklahoma City	NA
in.city	OK, Stillwater	NA
in.city	OK, Tulsa	NA
in.city	OR, Albany	NA
in.city	OR, Aloha	NA
in.city	OR, Beaverton	NA
in.city	OR, Bend	NA
in.city	OR, Corvallis	NA
in.city	OR, Eugene	NA
in.city	OR, Grants Pass	NA
in.city	OR, Gresham	NA
in.city	OR, Hillsboro	NA
in.city	OR, Lake Oswego	NA
in.city	OR, Medford	NA
in.city	OR, Portland	NA
in.city	OR, Salem	NA
in.city	OR, Springfield	NA
in.city	OR, Tigard	NA
in.city	PA, Allentown	NA
in.city	PA, Altoona	NA
in.city	PA, Bethlehem	NA
in.city	PA, Erie	NA
in.city	PA, Harrisburg	NA
in.city	PA, Lancaster	NA
in.city	PA, Levittown	NA
in.city	PA, Philadelphia	NA
in.city	PA, Pittsburgh	NA
in.city	PA, Reading	NA
in.city	PA, Scranton	NA
in.city	PA, Wilkes-Barre	NA
in.city	PA, York	NA
in.city	RI, Cranston	NA
in.city	RI, East Providence	NA
in.city	RI, Pawtucket	NA
in.city	RI, Providence	NA
in.city	RI, Warwick	NA
in.city	RI, Woonsocket	NA
in.city	SC, Charleston	NA
in.city	SC, Columbia	NA
in.city	SC, Florence	NA
in.city	SC, Goose Creek	NA
in.city	SC, Greenville	NA
in.city	SC, Hilton Head Island	NA
in.city	SC, Mount Pleasant	NA
in.city	SC, Myrtle Beach	NA
in.city	SC, North Charleston	NA
in.city	SC, North Myrtle Beach	NA
in.city	SC, Rock Hill	NA
in.city	SC, Spartanburg	NA
in.city	SC, Summerville	NA
in.city	SC, Sumter	NA
in.city	SD, Rapid City	NA
in.city	SD, Sioux Falls	NA
in.city	TN, Bartlett	NA
in.city	TN, Chattanooga	NA
in.city	TN, Clarksville	NA
in.city	TN, Cleveland	NA
in.city	TN, Collierville	NA
in.city	TN, Columbia	NA
in.city	TN, Franklin	NA
in.city	TN, Germantown	NA
in.city	TN, Hendersonville	NA
in.city	TN, Jackson	NA
in.city	TN, Johnson City	NA
in.city	TN, Kingsport	NA
in.city	TN, Knoxville	NA
in.city	TN, Memphis	NA
in.city	TN, Murfreesboro	NA
in.city	TN, Nashville-Davidson Metropolitan Government Balance	NA
in.city	TN, Smyrna	NA
in.city	TX, Abilene	NA
in.city	TX, Allen	NA
in.city	TX, Amarillo	NA
in.city	TX, Arlington	NA
in.city	TX, Atascocita	NA
in.city	TX, Austin	NA
in.city	TX, Baytown	NA
in.city	TX, Beaumont	NA
in.city	TX, Bedford	NA
in.city	TX, Brownsville	NA
in.city	TX, Bryan	NA
in.city	TX, Burleson	NA
in.city	TX, Carrollton	NA
in.city	TX, Cedar Hill	NA
in.city	TX, Cedar Park	NA
in.city	TX, College Station	NA
in.city	TX, Conroe	NA
in.city	TX, Coppell	NA
in.city	TX, Corpus Christi	NA
in.city	TX, Dallas	NA
in.city	TX, Denton	NA
in.city	TX, Desoto	NA
in.city	TX, Edinburg	NA
in.city	TX, El Paso	NA
in.city	TX, Euless	NA
in.city	TX, Flower Mound	NA
in.city	TX, Fort Worth	NA
in.city	TX, Frisco	NA
in.city	TX, Galveston	NA
in.city	TX, Garland	NA
in.city	TX, Georgetown	NA
in.city	TX, Grand Prairie	NA
in.city	TX, Grapevine	NA
in.city	TX, Haltom City	NA
in.city	TX, Harlingen	NA
in.city	TX, Houston	NA
in.city	TX, Hurst	NA
in.city	TX, Irving	NA
in.city	TX, Keller	NA
in.city	TX, Killeen	NA
in.city	TX, Laredo	NA
in.city	TX, League City	NA
in.city	TX, Lewisville	NA
in.city	TX, Longview	NA
in.city	TX, Lubbock	NA
in.city	TX, Lufkin	NA
in.city	TX, Mansfield	NA
in.city	TX, Mcallen	NA
in.city	TX, Mckinney	NA
in.city	TX, Mesquite	NA
in.city	TX, Midland	NA
in.city	TX, Mission	NA
in.city	TX, Missouri City	NA
in.city	TX, New Braunfels	NA
in.city	TX, North Richland Hills	NA
in.city	TX, Odessa	NA
in.city	TX, Pasadena	NA
in.city	TX, Pearland	NA
in.city	TX, Pflugerville	NA
in.city	TX, Pharr	NA
in.city	TX, Plano	NA
in.city	TX, Port Arthur	NA
in.city	TX, Richardson	NA
in.city	TX, Round Rock	NA
in.city	TX, Rowlett	NA
in.city	TX, San Angelo	NA
in.city	TX, San Antonio	NA
in.city	TX, San Marcos	NA
in.city	TX, Sherman	NA
in.city	TX, Spring	NA
in.city	TX, Sugar Land	NA
in.city	TX, Temple	NA
in.city	TX, Texarkana	NA
in.city	TX, Texas City	NA
in.city	TX, The Colony	NA
in.city	TX, The Woodlands	NA
in.city	TX, Tyler	NA
in.city	TX, Victoria	NA
in.city	TX, Waco	NA
in.city	TX, Wichita Falls	NA
in.city	TX, Wylie	NA
in.city	UT, Layton	NA
in.city	UT, Lehi	NA
in.city	UT, Logan	NA
in.city	UT, Millcreek	NA
in.city	UT, Murray	NA
in.city	UT, Ogden	NA
in.city	UT, Orem	NA
in.city	UT, Provo	NA
in.city	UT, Salt Lake City	NA
in.city	UT, Sandy	NA
in.city	UT, South Jordan	NA
in.city	UT, St George	NA
in.city	UT, Taylorsville	NA
in.city	UT, West Jordan	NA
in.city	UT, West Valley City	NA
in.city	VA, Alexandria	NA
in.city	VA, Arlington	NA
in.city	VA, Ashburn	NA
in.city	VA, Blacksburg	NA
in.city	VA, Centreville	NA
in.city	VA, Charlottesville	NA
in.city	VA, Chesapeake	NA
in.city	VA, Dale City	NA
in.city	VA, Danville	NA
in.city	VA, Hampton	NA
in.city	VA, Harrisonburg	NA
in.city	VA, Lake Ridge	NA
in.city	VA, Leesburg	NA
in.city	VA, Lynchburg	NA
in.city	VA, Mclean	NA
in.city	VA, Mechanicsville	NA
in.city	VA, Newport News	NA
in.city	VA, Norfolk	NA
in.city	VA, Petersburg	NA
in.city	VA, Portsmouth	NA
in.city	VA, Reston	NA
in.city	VA, Richmond	NA
in.city	VA, Roanoke	NA
in.city	VA, Suffolk	NA
in.city	VA, Tuckahoe	NA
in.city	VA, Virginia Beach	NA
in.city	VT, Burlington	NA
in.city	WA, Auburn	NA
in.city	WA, Bellevue	NA
in.city	WA, Bellingham	NA
in.city	WA, Bremerton	NA
in.city	WA, Edmonds	NA
in.city	WA, Everett	NA
in.city	WA, Federal Way	NA
in.city	WA, Kennewick	NA
in.city	WA, Kent	NA
in.city	WA, Kirkland	NA
in.city	WA, Lacey	NA
in.city	WA, Lakewood	NA
in.city	WA, Longview	NA
in.city	WA, Marysville	NA
in.city	WA, Olympia	NA
in.city	WA, Pasco	NA
in.city	WA, Puyallup	NA
in.city	WA, Redmond	NA
in.city	WA, Renton	NA
in.city	WA, Richland	NA
in.city	WA, Sammamish	NA
in.city	WA, Seattle	NA
in.city	WA, Shoreline	NA
in.city	WA, South Hill	NA
in.city	WA, Spokane	NA
in.city	WA, Spokane Valley	NA
in.city	WA, Tacoma	NA
in.city	WA, Vancouver	NA
in.city	WA, Yakima	NA
in.city	WI, Appleton	NA
in.city	WI, Beloit	NA
in.city	WI, Eau Claire	NA
in.city	WI, Fond Du Lac	NA
in.city	WI, Green Bay	NA
in.city	WI, Greenfield	NA
in.city	WI, Janesville	NA
in.city	WI, Kenosha	NA
in.city	WI, La Crosse	NA
in.city	WI, Madison	NA
in.city	WI, Manitowoc	NA
in.city	WI, Menomonee Falls	NA
in.city	WI, Milwaukee	NA
in.city	WI, New Berlin	NA
in.city	WI, Oshkosh	NA
in.city	WI, Racine	NA
in.city	WI, Sheboygan	NA
in.city	WI, Waukesha	NA
in.city	WI, Wausau	NA
in.city	WI, Wauwatosa	NA
in.city	WI, West Allis	NA
in.city	WV, Charleston	NA
in.city	WV, Huntington	NA
in.city	WV, Parkersburg	NA
in.city	WY, Casper	NA
in.city	WY, Cheyenne	NA
in.clothes_dryer	Electric, 100% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 100% the national average
in.clothes_dryer	Electric, 120% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 120% the national average
in.clothes_dryer	Electric, 80% Usage	Standard efficiency electric clothes dryer (2.7 CEF) with usage at 80% the national average
in.clothes_dryer	Gas, 100% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 100% the national average
in.clothes_dryer	Gas, 120% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 120% the national average
in.clothes_dryer	Gas, 80% Usage	Standard efficiency gas clothes dryer (2.39 CEF) with usage at 80% the national average
in.clothes_dryer	None	No clothes dryer
in.clothes_dryer	Propane, 100% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 100% the national average
in.clothes_dryer	Propane, 120% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 120% the national average
in.clothes_dryer	Propane, 80% Usage	Standard efficiency propane clothes dryer (2.39 CEF) with usage at 80% the national average
in.clothes_washer	EnergyStar, 100% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 100% the national average
in.clothes_washer	EnergyStar, 120% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 120% the national average
in.clothes_washer	EnergyStar, 80% Usage	EnergyStar clothes washer (2.07 IMEF) with usage at 80% the national average
in.clothes_washer	None	No clothes washer
in.clothes_washer	Standard, 100% Usage	Standard efficiency clothes washer (0.95 IMEF) with usage at 100% the national average
in.clothes_washer	Standard, 120% Usage	Standard efficiency clothes washer (0.95 IMEF) with usage at 120% the national average
in.clothes_washer	Standard, 80% Usage	Standard efficiency clothes washer (0.95 IMEF) with usage at 80% the national average
in.clothes_washer_presence	None	Unit does not have a clothes washer
in.clothes_washer_presence	Yes	Unit has a clothes washer
in.cooking_range	Electric, 100% Usage	Electric cooking range with usage at 100% the national average
in.cooking_range	Electric, 120% Usage	Electric cooking range with usage at 120% the national average
in.cooking_range	Electric, 80% Usage	Electric cooking range with usage at 80% the national average
in.cooking_range	Gas, 100% Usage	Gas cooking range with usage at 100% the national average
in.cooking_range	Gas, 120% Usage	Gas cooking range with usage at 120% the national average
in.cooking_range	Gas, 80% Usage	Gas cooking range with usage at 80% the national average
in.cooking_range	None	No cooking range
in.cooking_range	Propane, 100% Usage	Propane cooking range with usage at 100% the national average
in.cooking_range	Propane, 120% Usage	Propane cooking range with usage at 120% the national average
in.cooking_range	Propane, 80% Usage	Propane cooking range with usage at 80% the national average
in.cooling_setpoint	60F	Base cooling setpoint is 60F before offset is applied
in.cooling_setpoint	62F	Base cooling setpoint is 62F before offset is applied
in.cooling_setpoint	65F	Base cooling setpoint is 65F before offset is applied
in.cooling_setpoint	67F	Base cooling setpoint is 67F before offset is applied
in.cooling_setpoint	68F	Base cooling setpoint is 68F before offset is applied
in.cooling_setpoint	70F	Base cooling setpoint is 70F before offset is applied
in.cooling_setpoint	72F	Base cooling setpoint is 72F before offset is applied
in.cooling_setpoint	75F	Base cooling setpoint is 75F before offset is applied
in.cooling_setpoint	76F	Base cooling setpoint is 76F before offset is applied
in.cooling_setpoint	78F	Base cooling setpoint is 78F before offset is applied
in.cooling_setpoint	80F	Base cooling setpoint is 80F before offset is applied
in.cooling_setpoint_has_offset	No	No cooling setpoint offset
in.cooling_setpoint_has_offset	Yes	Dwelling unit has a cooling setpoint offset
in.cooling_setpoint_offset_magnitude	0F	Cooling setpoint offset magnitude is 0F
in.cooling_setpoint_offset_magnitude	2F	Cooling setpoint offset magnitude is 2F
in.cooling_setpoint_offset_magnitude	5F	Cooling setpoint offset magnitude is 5F
in.cooling_setpoint_offset_magnitude	9F	Cooling setpoint offset magnitude is 9F
in.cooling_setpoint_offset_period	Day Setup	Cooling setpoint schedule is increased during the daytime
in.cooling_setpoint_offset_period	Day Setup +1h	Cooling setpoint is increased during the daytime and shifted +1 hour from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup +2h	Cooling setpoint is increased during the daytime and shifted +2 hours from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup +3h	Cooling setpoint is increased during the daytime and shifted +3 hours from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup +4h	Cooling setpoint is increased during the daytime and shifted +4 hours from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup +5h	Cooling setpoint is increased during the daytime and shifted +5 hours from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup -1h	Cooling setpoint is increased during the daytime and shifted -1 hour from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup -2h	Cooling setpoint is increased during the daytime and shifted -2 hours from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup -3h	Cooling setpoint is increased during the daytime and shifted -3 hours from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup -4h	Cooling setpoint is increased during the daytime and shifted -4 hours from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup -5h	Cooling setpoint is increased during the daytime and shifted -5 hours from the Day Setup schedule
in.cooling_setpoint_offset_period	Day Setup and Night Setback	Cooling setpoint is increased during the day and decreased at night
in.cooling_setpoint_offset_period	Day Setup and Night Setback +1h	Cooling setpoint is increased during the day and decreased at night, shifted +1 hour from the Day Setup and Night Setback schedule
